id,question,option_a,option_b,option_c,option_d,option_e,correct,explanation,category
15,玛巴洛沙韦（baloxavir marboxil）的抗病毒靶点是？,M2蛋白,神经氨酸酶,病毒RNA聚合酶PA亚基的内切酶活性,病毒RNA聚合酶PB1亚基,血凝素,C,玛巴洛沙韦通过抑制流感病毒RNA聚合酶PA亚基的内切酶活性，阻止病毒mRNA的复制。法匹拉韦则抑制PB1亚基。,抗流感病毒药
16,下列关于扎那米韦的描述，哪项是正确的？,口服生物利用度高,对哮喘或COPD患者安全有效,通过抑制流感病毒的神经氨酸酶发挥作用,属于M2通道阻滞药,对甲型流感无效,C,扎那米韦是神经氨酸酶抑制药，口服生物利用度低，对哮喘或COPD患者可能无效甚至引起危险。,抗流感病毒药
17,法匹拉韦（favipiravir）的抗病毒作用靶点是？,神经氨酸酶,M2蛋白,病毒RNA聚合酶PB1亚基,病毒RNA聚合酶PA亚基,血凝素,C,法匹拉韦作为核苷类似物，有效抑制流感病毒PB1亚基活性，阻断病毒RNA合成。,抗流感病毒药
18,与金刚烷胺相比，金刚乙胺的特点是什么？,抗病毒作用更强,对乙型流感病毒有效,中枢神经系统不良反应较少,半衰期更短,口服不吸收,C,金刚乙胺不易透过血脑屏障，故中枢神经系统不良反应较金刚烷胺少。,抗流感病毒药
19,目前公认的抗禽流感、甲型H1N1流感最有效的药物之一是？,金刚烷胺,利巴韦林,阿昔洛韦,奥司他韦,阿糖腺苷,D,奥司他韦是公认的抗禽流感、甲型H1N1流感最有效的药物之一。,抗流感病毒药
20,巴洛沙韦玛波西酯的半衰期约为？,2~4 h,6~10 h,12~17 h,约79 h,约120 h,D,巴洛沙韦玛波西酯的t1/2较长，约为79.1 h。金刚烷胺t1/2为12～17 h，奥司他韦活性代谢物t1/2为6～10 h。,抗流感病毒药
21,流感病毒RNA聚合酶的三个亚基不包括？,PB1,PB2,PA,M2,以上都是亚基,D,流感病毒RNA聚合酶由PB1、PB2和PA三个亚基组成，M2是病毒包膜上的离子通道蛋白，不是聚合酶亚基。,抗流感病毒药
22,下列关于M2通道阻滞药的特点，错误的是？,金刚烷胺口服易吸收,主要以原型经肾排出,对甲型和乙型流感病毒均有效,金刚烷胺耐药性较普遍，已很少使用,金刚乙胺中枢不良反应较少,C,M2通道阻滞药仅对甲型流感病毒有效，对乙型流感病毒无效。,抗流感病毒药
23,阿昔洛韦抗疱疹病毒作用机制的关键步骤是？,直接抑制病毒蛋白质合成,在感染细胞内经病毒胸苷激酶（TK）磷酸化后发挥作用,阻断病毒与宿主细胞膜融合,抑制病毒神经氨酸酶,直接降解病毒mRNA,B,阿昔洛韦在感染细胞内经病毒胸苷激酶（TK）磷酸化后，生成三磷酸阿昔洛韦，抑制病毒DNA聚合酶。,抗疱疹病毒药
24,阿昔洛韦对下列哪种病毒的抑制作用最弱？,HSV-1,HSV-2,VZV,EBV,CMV,E,CMV（巨细胞病毒）无胸苷激酶（TK），故阿昔洛韦抑制CMV的活性较低。,抗疱疹病毒药
25,下列关于阿昔洛韦的描述，错误的是？,又称无环鸟苷,口服生物利用度为10%～30%,在肾中药物浓度最高,对缺乏TK的HSV突变株有效,抗疱疹病毒作用比碘苷强10倍,D,阿昔洛韦对缺乏TK（胸苷激酶）的HSV突变株无作用，因为其活化依赖于病毒TK的磷酸化。,抗疱疹病毒药
26,与阿昔洛韦相比，更昔洛韦的显著特点是？,口服生物利用度高,抗CMV作用强于阿昔洛韦约100倍,毒性更小,对HSV无抑制作用,不需经磷酸化激活,B,更昔洛韦抗CMV作用强于阿昔洛韦约100倍，但毒性较大，可诱发骨髓抑制，仅用于严重CMV感染。,抗疱疹病毒药
27,伐昔洛韦（valaciclovir）与阿昔洛韦的关系是？,伐昔洛韦是阿昔洛韦的代谢产物,伐昔洛韦是阿昔洛韦的前药,两者化学结构完全不同,伐昔洛韦抗病毒谱更广,两者无关联,B,伐昔洛韦是阿昔洛韦的前药（L-缬氨酸酯），口服后在体内迅速水解为阿昔洛韦而发挥作用。,抗疱疹病毒药
28,泛昔洛韦（famciclovir）在体内转化为哪种活性物质？,阿昔洛韦,更昔洛韦,喷昔洛韦,伐昔洛韦,曲氟尿苷,C,泛昔洛韦是喷昔洛韦的前药，口服后在体内转化为喷昔洛韦发挥抗病毒作用。,抗疱疹病毒药
29,喷昔洛韦的主要临床应用是？,口服治疗带状疱疹,静脉注射治疗CMV感染,外用治疗复发性唇和生殖器疱疹,口服治疗流感,治疗乙型肝炎,C,喷昔洛韦口服生物利用度仅约5%，主要外用治疗复发性唇和生殖器疱疹。,抗疱疹病毒药
30,膦甲酸（foscarnet）的作用机制是？,抑制病毒胸苷激酶,抑制病毒DNA聚合酶和逆转录酶,抑制神经氨酸酶,抑制病毒吸附,掺入病毒DNA终止链延长,B,膦甲酸为焦磷酸类似物，能特异性抑制病毒DNA聚合酶和逆转录酶，为非核苷类抗病毒药。,抗疱疹病毒药
31,曲氟尿苷（trifluridine）主要用于治疗？,慢性乙型肝炎,流感,疱疹性角膜炎和结膜炎,艾滋病,丙型肝炎,C,曲氟尿苷局部应用治疗眼部感染，包括疱疹性角膜炎和结膜炎及其他疱疹性眼病。,抗疱疹病毒药
32,阿昔洛韦大剂量静脉滴注最需要关注的不良反应是？,骨髓抑制,周围神经炎,可逆性肾损害及肾功能减退,胰腺炎,肝衰竭,C,阿昔洛韦大剂量静脉滴注时，少数患者可发生可逆性肾损害、肾小管内结晶及肾功能减退。,抗疱疹病毒药
33,下列抗疱疹病毒药中，口服生物利用度最高的是？,阿昔洛韦（10%～30%）,喷昔洛韦（约5%）,泛昔洛韦（约70%）,膦甲酸（口服生物利用度低）,更昔洛韦（口服吸收差）,C,泛昔洛韦口服生物利用度约70%，远高于阿昔洛韦（10%～30%）、喷昔洛韦（约5%）和更昔洛韦（吸收差）。,抗疱疹病毒药
34,下列关于阿昔洛韦体内过程的描述，错误的是？,肾中药物浓度为血药浓度的10倍,脑脊液浓度为血药浓度的50%,血浆蛋白结合率为50%～60%,主要经肾排泄,无尿患者t1/2可延长至18h,C,阿昔洛韦血浆蛋白结合率为9%～23%，而非50%～60%。,抗疱疹病毒药
35,更昔洛韦最严重的不良反应是？,周围神经炎,骨髓抑制,肝功能异常,肾功能损害,胰腺炎,B,更昔洛韦毒性较大，可诱发骨髓抑制，这是其最严重的不良反应。,抗疱疹病毒药
36,膦甲酸常见的不良反应是？,骨髓抑制,胰腺炎,肾功能损伤和电解质紊乱,周围神经炎,视网膜病变,C,膦甲酸常见不良反应有肾功能损伤、电解质紊乱和静脉炎。,抗疱疹病毒药
37,导致水痘和带状疱疹的病毒是？,HSV-1,HSV-2,VZV（HHV-3）,CMV,EBV,C,VZV（水痘-带状疱疹病毒/HHV-3）主要引起水痘和带状疱疹。HSV-1引起口唇疱疹，HSV-2引起生殖器疱疹。,抗疱疹病毒药
38,不宜与齐多夫定合用的抗HIV药物是？,拉米夫定,去羟肌苷,司他夫定,扎西他滨,阿巴卡韦,C,司他夫定不宜与齐多夫定合用，因为齐多夫定能减少司他夫定的磷酸化，两者互相拮抗。,抗HIV药
39,阿德福韦酯属于哪类抗病毒药物？,干扰素类,神经氨酸酶抑制药,无环腺嘌呤核苷类似物,非核苷类逆转录酶抑制药,蛋白酶抑制药,C,阿德福韦酯为无环腺嘌呤核苷类似物，在体内水解为阿德福韦，抑制HBV DNA聚合酶。,抗肝炎病毒药
40,恩替卡韦的抗病毒靶点是？,HCV NS5B聚合酶,HBV DNA聚合酶,HIV逆转录酶,流感病毒RNA聚合酶,疱疹病毒DNA聚合酶,B,恩替卡韦在体内磷酸化后抑制HBV DNA聚合酶的启动、前基因组mRNA逆转录负链形成及HBV DNA正链合成。,抗肝炎病毒药
41,替诺福韦的描述，下列哪项是正确的？,仅用于治疗HIV感染,属于非核苷类逆转录酶抑制药,在体内磷酸化后抑制HIV-1逆转录酶和HBV逆转录酶,对乙型肝炎无效,属于蛋白酶抑制药,C,替诺福韦在体内磷酸化形成二磷酸替诺福韦，可抑制HIV-1逆转录酶和HBV逆转录酶活性，用于治疗慢性乙型肝炎和HIV-1感染。,抗肝炎病毒药
42,丙酚替诺福韦（TAF）与替诺福韦（TDF）相比，主要优势是？,抗病毒作用更弱,仅对HIV有效,在骨代谢和肾脏安全性方面优于替诺福韦,不需要磷酸化激活,口服吸收更差,C,丙酚替诺福韦是替诺福韦前药，抗病毒疗效较替诺福韦强，不良反应减少，在骨代谢和肾脏安全性方面优于替诺福韦。,抗肝炎病毒药
43,索磷布韦（sofosbuvir）的抗病毒靶点是？,HCV NS3/4A蛋白酶,HCV NS5A蛋白,HCV NS5B聚合酶,HBV DNA聚合酶,HIV整合酶,C,索磷布韦是HCV NS5B聚合酶抑制药，在体内转化为活性尿苷三磷酸类似物，整合入延长的RNA中使链终止。,抗肝炎病毒药
44,下列哪组是NS3/4A蛋白酶抑制药？,艾尔巴韦、哌仑他韦、达拉他韦,格拉瑞韦、格卡瑞韦、西美瑞韦,索磷布韦、达塞布韦,拉米夫定、恩替卡韦,利巴韦林、干扰素,B,格拉瑞韦、格卡瑞韦和西美瑞韦属于NS3/4A蛋白酶抑制药。艾尔巴韦、哌仑他韦、达拉他韦属于NS5A抑制药。,抗肝炎病毒药
45,格卡瑞韦/哌仑他韦复方制剂的组成是？,NS3/4A蛋白酶抑制药 + NS5B聚合酶抑制药,NS3/4A蛋白酶抑制药 + NS5A抑制药,NS5A抑制药 + NS5B聚合酶抑制药,两种NS5B聚合酶抑制药,NS5A抑制药 + 核苷类似物,B,格卡瑞韦/哌仑他韦是NS3/4A蛋白酶抑制药（格卡瑞韦100mg）和NS5A抑制药（哌仑他韦40mg）组成的复方制剂。,抗肝炎病毒药
46,下列关于索磷布韦的描述，错误的是？,为NS5B聚合酶抑制药,联合利巴韦林用于基因2型和3型慢性丙肝,口服吸收受饮食影响较大,在体内转化为活性尿苷三磷酸类似物,t1/2为0.4 h,C,索磷布韦口服吸收不受饮食的影响，0.5～2 h血药浓度达峰值。,抗肝炎病毒药
47,艾尔巴韦/格拉瑞韦复方制剂主要用于治疗？,慢性乙型肝炎,基因1型和4型慢性丙型肝炎,所有基因型慢性丙型肝炎,艾滋病,流感,B,艾尔巴韦/格拉瑞韦主要用于治疗基因1型和4型慢性丙型肝炎成人患者。而格卡瑞韦/哌仑他韦对所有基因型（1～6型）HCV均有活性。,抗肝炎病毒药
48,关于乙型肝炎的治疗，下列说法正确的是？,抗病毒药物对乙型肝炎可起到根治作用,目前抗病毒药物对乙型肝炎只能达到抑制病毒的目的,乙型肝炎急性期后很少转为慢性,干扰素对乙型肝炎无效,索磷布韦是治疗乙肝的首选药,B,目前抗病毒药物对乙型肝炎只能达到抑制病毒的目的，对丙型肝炎可起到根治作用。,抗肝炎病毒药
49,艾米替诺福韦与丙酚替诺福韦相比，结构上的特点是？,在酰胺化基团上增加了一个甲基,缺少磷酸基团,增加了苯环结构,改为口服混悬剂,无结构差异,A,艾米替诺福韦与丙酚替诺福韦相比，在酰胺化基团上增加了一个甲基，提升药物血浆稳定性和肝细胞内药物释放效率。,抗肝炎病毒药
50,下列哪项不是HCV的非结构蛋白？,NS3,NS4A,NS5A,NS5B,HBsAg,E,HBsAg是HBV的表面抗原，不是HCV编码的蛋白。HCV的非结构蛋白包括p7、NS2、NS3、NS4A、NS4B、NS5A和NS5B。,抗肝炎病毒药
51,下列关于阿德福韦酯的描述，正确的是？,与拉米夫定存在交叉耐药,HBV对其不易耐药，与拉米夫定无交叉耐药,仅对HCV有抑制作用,属于蛋白酶抑制药,口服后不需要代谢激活,B,阿德福韦酯HBV不易耐药，与拉米夫定无交叉耐药。联合拉米夫定对耐拉米夫定的慢性乙肝患者能有效抑制HBV DNA。,抗肝炎病毒药
52,慢性乙型肝炎治疗中，连续服药2年或以上可促进HBsAg消失的药物是？,拉米夫定,阿德福韦酯,恩替卡韦,干扰素,利巴韦林,C,恩替卡韦连续服用2年或以上可促进HBV表面抗原（HBsAg）消失，改善肝脏炎症，长期治疗可改善肝硬化患者组织学病变。,抗肝炎病毒药
53,下列抗HCV药物中，属于NS5A抑制药的是？,格拉瑞韦,格卡瑞韦,索磷布韦,达拉他韦,西美瑞韦,D,达拉他韦属于NS5A抑制药。格拉瑞韦、格卡瑞韦、西美瑞韦属于NS3/4A蛋白酶抑制药，索磷布韦属于NS5B聚合酶抑制药。,抗肝炎病毒药
54,甲型肝炎病毒（HAV）感染的治疗策略是？,使用索磷布韦治疗,使用恩替卡韦治疗,急性期通常采用对症治疗,必须使用干扰素,使用利巴韦林根治,C,甲型和戊型病毒性肝炎起病急，一般不会转化为慢性，急性期通常采用对症治疗。,抗肝炎病毒药
55,下列关于拉米夫定的描述，正确的是？,仅对HIV有效，对HBV无效,抑制HIV复制并对HBV有很强的抑制作用,属于蛋白酶抑制药,口服生物利用度低,与干扰素有拮抗作用,B,拉米夫定能抑制HIV复制，并对HBV有很强的抑制作用，与干扰素有协同作用。,抗HIV药
56,HCV RNA聚合酶由下列哪个非结构蛋白编码？,NS3,NS4A,NS5A,NS5B,p7,D,NS5B在HCV复制过程中编码RNA聚合酶（RNA-dependent RNA polymerase）。,抗肝炎病毒药
57,索磷布韦联合聚乙二醇干扰素α和利巴韦林用于治疗？,基因2型和3型慢性丙型肝炎,基因1型和4型慢性丙型肝炎,慢性乙型肝炎,艾滋病,所有类型肝炎,B,索磷布韦联合聚乙二醇干扰素α和利巴韦林用于基因1型和4型慢性丙型肝炎初治患者；联合利巴韦林用于基因2型和3型。,抗肝炎病毒药
58,下列关于阿德福韦酯临床应用适应证，正确的是？,适用于所有慢性丙型肝炎患者,适用于HBeAg和HBV DNA阳性、ALT增高的慢性乙型肝炎,适用于流感预防,适用于CMV感染,适用于HIV感染,B,阿德福韦酯适用于HBeAg和HBV DNA阳性、丙氨酸转氨酶增高的慢性乙型肝炎。,抗肝炎病毒药
59,下列药物中，既可治疗HBV又可治疗HIV的是？,恩替卡韦,阿德福韦酯,索磷布韦,替诺福韦,利巴韦林,D,替诺福韦可抑制HIV-1逆转录酶和HBV逆转录酶的活性，既可治疗慢性乙型肝炎，也可与其他抗逆转录病毒药物合用治疗HIV-1感染。,抗肝炎病毒药
60,下列哪种抗病毒药能促进ALT恢复正常并改善肝组织炎症和纤维化？,阿德福韦酯,金刚烷胺,奥司他韦,阿昔洛韦,曲氟尿苷,A,阿德福韦酯可促进丙氨酸转氨酶（ALT）恢复至正常水平，改善肝组织炎症、坏死和纤维化。,抗肝炎病毒药
61,HIV复制过程中，负责将病毒RNA逆转录为DNA的酶是？,整合酶,蛋白酶,逆转录酶,RNA聚合酶,DNA聚合酶,C,HIV的逆转录酶（依赖RNA的DNA聚合酶）负责将病毒RNA逆转录合成为病毒DNA。,抗HIV药
62,第一个获批准的抗HIV药物是？,拉米夫定,司他夫定,齐多夫定,去羟肌苷,阿巴卡韦,C,齐多夫定（zidovudine）是第一个获批准的抗HIV药，为胸腺嘧啶核苷类似物，属于NRTI。,抗HIV药
63,齐多夫定最主要的不良反应是？,周围神经炎,胰腺炎,骨髓抑制,肾功能损害,肝毒性,C,齐多夫定的主要不良反应为骨髓抑制，表现为贫血、白细胞减少等，发生率与剂量和疗程有关。,抗HIV药
64,齐多夫定能显著减少HIV感染的母婴传播率，需要从妊娠第几周开始给药？,第4周到第8周,第8周到第12周,第14周到第34周,第36周到第40周,仅在分娩时给药,C,齐多夫定显著减少HIV感染的母婴传播率，需从妊娠第14周给药到34周。,抗HIV药
65,拉米夫定的口服生物利用度约为？,30%～40%,52%～75%,80%～88%,95%以上,10%～20%,C,拉米夫定口服生物利用度为80%～88%，不受食物影响。齐多夫定生物利用度为52%～75%。,抗HIV药
66,司他夫定最常见的不良反应是？,骨髓抑制,周围神经炎,肾毒性,肝毒性,胰腺炎,B,司他夫定的主要不良反应为周围神经炎，与扎西他滨和去羟肌苷等合用时发生率明显增加。,抗HIV药
67,扎西他滨在细胞内t1/2长达约？,2h,5h,10h,24h,40h,C,扎西他滨血浆t1/2为2 h，但细胞内t1/2可长达10 h。去羟肌苷细胞内t1/2可达25～40 h。,抗HIV药
68,去羟肌苷细胞内t1/2最长可达？,2 h,10 h,25～40 h,80 h,超过100 h,C,去羟肌苷血浆t1/2为0.6～1.5 h，但细胞内t1/2可长达25～40 h。,抗HIV药
69,下列哪种NRTI在肾功能不全（肌酐清除率<30ml/min）时不宜使用？,齐多夫定,司他夫定,拉米夫定,去羟肌苷,阿巴卡韦,C,拉米夫定主要以原型经肾排泄，肌酐清除率<30 mL/min者不宜使用。,抗HIV药
70,下列哪个药物能减少司他夫定的磷酸化，导致两者不宜合用？,拉米夫定,去羟肌苷,齐多夫定,阿巴卡韦,扎西他滨,C,齐多夫定能减少司他夫定的磷酸化，两者互相拮抗，不宜合用。,抗HIV药
71,NRTI类药物的共同作用机制是？,直接结合逆转录酶破坏催化位点,抑制HIV蛋白酶,被磷酸化为活性三磷酸代谢物，竞争逆转录酶并终止DNA链合成,阻断病毒进入宿主细胞,抑制整合酶活性,C,所有NRTI类药物均需在宿主细胞内被磷酸化为活性三磷酸代谢物，与内源性核苷三磷酸盐竞争逆转录酶，并插入病毒DNA导致链合成中止。,抗HIV药
72,下列关于NNRTI的描述，哪项是正确的？,需要经宿主细胞磷酸化激活,可直接结合到逆转录酶并破坏催化位点,属于核苷类似物,单用不易产生耐药性,对HIV-2的抑制作用强于HIV-1,B,NNRTI不需要磷酸化激活，可直接结合到逆转录酶并破坏催化位点，抑制其活性。但不单独应用，因可迅速产生耐药性。,抗HIV药
73,利匹韦林（rilpivirine）属于？,第一代NRTI,第一代NNRTI,第二代NNRTI,蛋白酶抑制药,整合酶抑制药,C,利匹韦林为第二代NNRTI，对现有NNRTI耐药毒株具有较强的抗病毒活性，交叉耐药性小。,抗HIV药
74,下列哪一组全部属于HIV蛋白酶抑制药？,齐多夫定、拉米夫定、司他夫定,依非韦伦、奈韦拉平、利匹韦林,利托那韦、沙奎那韦、茚地那韦,拉替拉韦、多替拉韦、艾维雷韦,马拉维若、恩夫韦肽,C,利托那韦、沙奎那韦、茚地那韦均属于HIV蛋白酶抑制药（PIs）。A组为NRTI，B组为NNRTI，D组为整合酶抑制药，E组为进入抑制药。,抗HIV药
75,蛋白酶抑制药最常见的不良反应是？,骨髓抑制和贫血,周围神经炎,高血糖症和高脂血症,肾功能损伤,皮疹和过敏反应,C,蛋白酶抑制药最常见的不良反应为高血糖症和高脂血症。此外，PIs主要经肝CYP代谢，可抑制CYP3A4，易发生药物相互作用。,抗HIV药
76,第一个被批准用于治疗HIV感染的整合酶抑制药是？,多替拉韦,艾维雷韦,拉替拉韦,比克替拉韦,卡博特韦,C,拉替拉韦（raltegravir）是第一个被批准用于治疗HIV感染的整合酶抑制药。,抗HIV药
77,卡替拉韦（cabotegravir）纳米注射制剂的t1/2约为？,2～4 h,约40 h,5.6～11.5 周,约7天,24 h,C,卡替拉韦纳米注射制剂（肌内注射）t1/2为5.6～11.5周，是一种新型长效整合酶抑制药。口服制剂t1/2约40 h。,抗HIV药
78,马拉维若（maraviroc）的作用机制是？,抑制HIV逆转录酶,抑制HIV蛋白酶,阻断宿主CD4+细胞上的CCR5蛋白，阻止HIV-1进入T细胞,抑制HIV整合酶,抑制病毒gp41与细胞膜融合,C,马拉维若是CCR5拮抗药，可阻断宿主CD4+细胞上的CCR5蛋白，阻止HIV-1进入T细胞。恩夫韦肽则阻止gp41介导的膜融合。,抗HIV药
79,恩夫韦肽（enfuvirtide）属于哪类抗HIV药物？,NRTI,NNRTI,蛋白酶抑制药,进入抑制药（融合抑制药）,整合酶抑制药,D,恩夫韦肽为HIV-1跨膜融合蛋白gp41衍生的人工合成多肽，属于进入抑制药（融合抑制药）。,抗HIV药
80,下列哪种药物与更昔洛韦同服可增加其吸收，但降低更昔洛韦的吸收？,齐多夫定,去羟肌苷,司他夫定,拉米夫定,阿巴卡韦,B,去羟肌苷与更昔洛韦同服可增加去羟肌苷的吸收，但降低更昔洛韦的吸收。,抗HIV药
81,下列关于齐多夫定的描述，错误的是？,口服吸收迅速，0.5～1h达峰,易透过血脑屏障,可抗HIV-1和HIV-2,常与司他夫定合用增强疗效,t1/2为1 h，无蓄积作用,D,齐多夫定不能与司他夫定合用，因齐多夫定能减少司他夫定的磷酸化，二者互相拮抗。,抗HIV药
82,下列哪种NRTI的脑脊液浓度约为血清浓度的20%？,齐多夫定（50%～60%）,司他夫定（55%）,扎西他滨（约20%）,拉米夫定（可透过血脑屏障）,阿巴卡韦,C,扎西他滨脑脊液浓度约为血清浓度的20%。齐多夫定脑脊液浓度为血药浓度的50%～60%，司他夫定为55%。,抗HIV药
83,下列关于NRTI耐药的描述，正确的是？,NRTI类药物不会产生耐药性,耐药主要与编码逆转录酶的基因突变有关,单药长期治疗不易发生耐药,耐药后所有NRTI均交叉耐药,联合用药不能防止HIV复制和耐药,B,HIV-1耐药主要与编码逆转录酶的基因突变有关，单一药物长期治疗更易发生。联合用药是目前避免耐药的唯一途径。,抗HIV药
84,目前治疗艾滋病的标准方案是？,单一NRTI治疗,单一蛋白酶抑制药治疗,2～3种抗HIV药物联合使用,干扰素单药治疗,仅使用进入抑制药,C,当前抗HIV药物需2～3种联合使用，虽无法根治HIV，但可长期抑制HIV复制，保存患者免疫功能及延长生存期。,抗HIV药
85,下列抗HIV药物中，主要经肝CYP代谢并可抑制CYP3A4的是？,齐多夫定,拉米夫定,替诺福韦,利托那韦,拉替拉韦,D,蛋白酶抑制药（PIs）如利托那韦主要经肝CYP代谢，可不同程度地抑制肝CYP3A4，故可与其他许多药物发生相互作用。,抗HIV药
86,齐多夫定在脑脊液中的浓度为血药浓度的？,约10%,约20%,50%～60%,约80%,几乎相等,C,齐多夫定易透过血脑屏障，脑脊液中浓度为血药浓度的50%～60%。,抗HIV药
87,关于去羟肌苷，下列描述正确的是？,口服生物利用度高（>80%）,进食可增加其吸收,可作为严重HIV感染的一线药物,脑脊液浓度为血药浓度的50%以上,血浆蛋白结合率高,C,去羟肌苷可作为严重HIV感染的一线药物，特别适合齐多夫定不耐受或治疗无效的患者。其口服生物利用度为30%～40%，进食干扰吸收。,抗HIV药
88,扎西他滨的主要不良反应是？,骨髓抑制,剂量依赖性周围神经炎,高血糖,高血脂,肾毒性,B,扎西他滨主要不良反应为剂量依赖性周围神经炎，发生率为10%～20%，停药后逐渐恢复。,抗HIV药
89,下列关于整合酶抑制药的描述，错误的是？,拉替拉韦是首个被批准的整合酶抑制药,通过抑制链转移反应阻断HIV复制,卡替拉韦是长效整合酶抑制药,整合酶催化HIV DNA整合到宿主DNA中,整合酶抑制药需要经宿主细胞磷酸化激活,E,整合酶抑制药不需要经宿主细胞磷酸化激活，它们通过与整合酶中的金属辅助因子（如Mg2+或Mn2+）结合来抑制整合过程。需要磷酸化激活的是NRTI类药物。,抗HIV药
